feature,coefficient,abs_coef
stratification1_18 - 24,-5.069563237474504,5.069563237474504
stratification1_Female,-4.712929675347599,4.712929675347599
stratification1_Male,4.640731952188376,4.640731952188376
stratification1_65 or older,3.4443543205200124,3.4443543205200124
"stratification1_Less than $15,000",-2.546233457943494,2.546233457943494
"stratification1_$75,000 or greater",2.534033665907821,2.534033665907821
locationabbr_DC,-2.3906622668810207,2.3906622668810207
stratification1_College graduate,2.165003978923732,2.165003978923732
stratification1_55 - 64,1.8916978966168048,1.8916978966168048
stratification1_25 - 34,-1.6344639986897194,1.6344639986897194
locationabbr_PR,1.6167007753941505,1.6167007753941505
locationabbr_WV,-1.3983823206054988,1.3983823206054988
locationabbr_NJ,1.3968317787242355,1.3968317787242355
"stratification1_$15,000 - $24,999",-1.3885329990635222,1.3885329990635222
"stratification1_$50,000 - $74,999",1.3430971460160863,1.3430971460160863
locationabbr_LA,-1.197226712255653,1.197226712255653
stratification1_Non-Hispanic White,1.1480702067815676,1.1480702067815676
locationabbr_MS,-1.1468746177962843,1.1468746177962843
stratification1_45 - 54,1.0975904548717488,1.0975904548717488
locationabbr_CA,1.049807901016345,1.049807901016345
stratification1_Hispanic,1.024025704223198,1.024025704223198
locationabbr_AR,-0.9360155802435932,0.9360155802435932
locationabbr_AL,-0.9208013457216726,0.9208013457216726
locationabbr_CT,0.918011899286059,0.918011899286059
stratification1_Asian,-0.8941935114254417,0.8941935114254417
locationabbr_NV,0.8272279747078788,0.8272279747078788
stratification1_Less than high school,-0.8027968753073588,0.8027968753073588
locationabbr_NH,0.7777109776600835,0.7777109776600835
locationabbr_FL,0.720862593374931,0.720862593374931
locationabbr_IN,-0.719768123450334,0.719768123450334
locationabbr_MT,0.7189539816152389,0.7189539816152389
locationabbr_NM,0.7042425042965572,0.7042425042965572
stratification1_Hawaiian/Pacific Islander,-0.7000761752502929,0.7000761752502929
locationabbr_KY,-0.6888588410306787,0.6888588410306787
locationabbr_MI,-0.6780953740457121,0.6780953740457121
stratification1_2 or more races,-0.6680673911108483,0.6680673911108483
stratification1_High school graduate,-0.6502782161581794,0.6502782161581794
locationabbr_ID,0.6483482743374613,0.6483482743374613
locationabbr_WY,0.638533943870673,0.638533943870673
locationabbr_HI,-0.6116104486923557,0.6116104486923557
"stratification1_$35,000 - $49,999",0.6040865636535936,0.6040865636535936
locationabbr_CO,0.6035281167188694,0.6035281167188694
locationabbr_OH,-0.6031793248631322,0.6031793248631322
locationabbr_UT,-0.6023794486949264,0.6023794486949264
stratification1_Data not reported,-0.577974923835999,0.577974923835999
locationabbr_RI,0.5365820589647654,0.5365820589647654
locationabbr_KS,-0.5133354602470456,0.5133354602470456
locationabbr_MN,0.4768871905085914,0.4768871905085914
locationabbr_ND,0.47308345993016454,0.47308345993016454
locationabbr_MO,-0.45987563337981807,0.45987563337981807
stratification1_Some college or technical school,-0.44962584711810566,0.44962584711810566
locationabbr_SC,-0.429181258701358,0.429181258701358
locationabbr_VT,-0.42345009878390316,0.42345009878390316
stratification1_35 - 44,0.4177483928304891,0.4177483928304891
yearstart_scaled,-0.4124782409596605,0.4124782409596605
locationabbr_TN,-0.41092150341643424,0.41092150341643424
locationabbr_NY,0.40708938197795047,0.40708938197795047
locationabbr_SD,0.3966507373758713,0.3966507373758713
stratificationcategory1_Race/Ethnicity,-0.3640167213197528,0.3640167213197528
locationabbr_NE,0.3599573198217163,0.3599573198217163
stratification1_Other,0.3451523732388553,0.3451523732388553
locationabbr_OK,-0.32557168698683536,0.32557168698683536
locationabbr_AZ,0.32045484405253444,0.32045484405253444
stratification1_American Indian/Alaska Native,-0.31853743364536374,0.31853743364536374
locationabbr_NC,0.3036115507724258,0.3036115507724258
stratification1_Non-Hispanic Black,-0.3003904941314329,0.3003904941314329
locationabbr_MA,0.2838010915209596,0.2838010915209596
locationabbr_TX,0.27694394878581513,0.27694394878581513
locationabbr_GA,-0.2732711238245506,0.2732711238245506
stratificationcategory1_Education,0.2623030403400903,0.2623030403400903
locationabbr_WI,0.2371357150700706,0.2371357150700706
stratification1_Total,0.2113516147647253,0.2113516147647253
stratificationcategory1_Total,0.2113516147647253,0.2113516147647253
locationabbr_US,0.2100751437638161,0.2100751437638161
locationabbr_WA,0.1880740716856426,0.1880740716856426
locationabbr_IA,-0.18771067682860557,0.18771067682860557
stratificationcategory1_Income,-0.17012218253214365,0.17012218253214365
locationabbr_GU,-0.16540424398857684,0.16540424398857684
stratificationcategory1_Age (years),0.1473638286748259,0.1473638286748259
"stratification1_$25,000 - $34,999",-0.13859817726664309,0.13859817726664309
locationabbr_AK,0.10813705814568783,0.10813705814568783
locationabbr_MD,0.08648719258123386,0.08648719258123386
locationabbr_PA,-0.07779073706978235,0.07779073706978235
locationabbr_VI,-0.07369381981392925,0.07369381981392925
stratificationcategory1_Sex,-0.07219772315921692,0.07219772315921692
locationabbr_OR,-0.06796127981572896,0.06796127981572896
locationabbr_ME,-0.057801216786744054,0.057801216786744054
locationabbr_VA,0.03380361387426453,0.03380361387426453
locationabbr_DE,0.028474165638921314,0.028474165638921314
locationabbr_IL,0.026495735219776252,0.026495735219776252
